Type de contenu,Titre,Texte principal,Questions,Réponses
Fiscalité,Impôt sur les sociétés ou impôt sur le revenu,"Les bénéfices de votre entreprise sont imposables. Selon la forme juridique de votre entreprise, ses bénéfices peuvent être soumis soit à l'impôt sur le revenu (IR) soit à l'impôt sur les sociétés (IS).",Quelle imposition selon votre statut ?,Cela dépend de la forme juridique de votre entreprise.
Fiscalité,Entreprise soumise à l'IR,"Si votre entreprise relève de l'impôt sur le revenu, vous devez renseigner ses bénéfices dans votre déclaration de revenus (déclarations n° 2042 et n° 2042-C-PRO) : dans la catégorie des bénéfices industriels et commerciaux (BIC) si votre activité est industrielle, commerciale ou artisanale, dans la catégorie des bénéfices non commerciaux (BNC) si votre activité est de nature libérale, ou dans la catégorie des bénéfices agricoles (BA). Le taux d’imposition appliqué à vos bénéfices dépend de vos autres revenus et de votre situation familiale.",Comment déclarer les bénéfices ?,Utilisez les déclarations n° 2042 et 2042-C-PRO.
Fiscalité,Entreprise soumise à l'IS,"Si votre entreprise est soumise à l'impôt sur les sociétés, vous devez déclarer son bénéfice net, après déduction des rémunérations versées aux dirigeants. Le bénéfice net doit être indiqué dans le formulaire 2065-SD pour l’impôt sur les sociétés, accompagné de la liasse fiscale correspondant au régime réel simplifié  ou régime réel normal. Le dirigeant doit déclarer sa rémunération et les dividendes reçus dans son sa déclaration de revenus.",Que déclarer pour l'IS ?,Les entreprises soumisent à l'impôt.
Fiscalité,Impôt sur les sociétés,"L'impôt sur les sociétés, également appelé « impôt sur les bénéfices », est un impôt prélevé sur le résultat annuel des entreprises.","L'impôt sur les sociétés, qu'est-ce que c'est ?",Impôt prélevé sur le résultat annuel des entreprises.
Fiscalité,Impôt sur les sociétés,"L'impôt sur les sociétés (IS) concerne les entreprises exploitant en France, c'est-à-dire qui réalisent leur activité commerciale habituelle sur le territoire. Notez à ce titre que les bénéfices réalisés à l'étranger ne sont donc pas soumis à l'IS. Certaines entreprises sont automatiquement soumises à l’impôt sur les sociétés (IS) tandis que d’autres, qui relèvent de l’imposition sur le revenu (IR), peuvent choisir d’opter pour l’IS sur option. La distinction entre ces deux modes d'imposition est notamment liée à la nature juridique même de l'entreprise.",Qui est soumis à l'impôt sur les sociétés ?,L'impôt sur les sociétés (IS) concerne les entreprises exploitant en France.
Fiscalité,Qui est soumis à l'impôt sur les sociétés ?,"L'impôt sur les sociétés (IS) concerne les entreprises exploitant en France. Certaines entreprises sont automatiquement soumises à l'IS, telles que les SA, SCA, SARL, SAS, et d'autres, tandis que certaines peuvent choisir l'IS sur option.",Quelles entreprises sont soumises à l'IS ?,"Les SA, SCA, SARL, SAS, et autres entreprises mentionnées sont automatiquement soumises à l'IS."
Fiscalité,Impôt sur les sociétés,"L'imposition à l'IS est optionnelle pour les cas suivants : l'entrepreneur individuel en EIRL, l'entrepreneur individuel (EI) (dans ce cas, il opte alors pour une assimilation à une EURL), l'entreprise unipersonnelle à responsabilité limitée (EURL), les sociétés en nom collectif (SNC), les sociétés en commandite simple, les sociétés en participation, les sociétés à responsabilité limitée dont l'associé unique est une personne physique, les sociétés civiles (SCI) mentionnées au 1° de l'article 8 du CGI, les sociétés créées de fait. Dans ce cas, vous choisissez de payer l’IS même si vos bénéfices sont normalement imposés à l’IR.",Est-ce que l'imposition à l'IS peut être optionnelle ?,"L'entrepreneur individuel en EIRL, l'entrepreneur individuel (EI) (dans ce cas, il opte alors pour une assimilation à une EURL), l'entreprise unipersonnelle à responsabilité limitée (EURL), les sociétés en nom collectif (SNC), les sociétés en commandite simple, les sociétés en participation, les sociétés à responsabilité limitée dont l'associé unique est une personne physique, les sociétés civiles (SCI) mentionnées au 1° de l'article 8 du CGI, les sociétés créées de fait."
Fiscalité,Déclarer et payer votre impôt sur les sociétés ,La déclaration de résultat doit être effectuée par voie dématérialisée via un partenaire EDI ou en mode EFI. Le paiement s'effectue par voie dématérialisée avec quatre acomptes annuels.,Comment déclarer l'impôt sur les sociétés ?,La déclaration se fait par voie dématérialisée via un partenaire EDI ou en mode EFI.
Fiscalité,Quel taux d'impôt sur les sociétés pour votre entreprise ?,"En 2024, le taux normal de l'IS est fixé à 25%. Un taux réduit de 15% s'applique aux PME avec un chiffre d'affaires inférieur à 10 millions d'euros, et un capital détenu à au moins 75% par des personnes physiques.",Quel est le taux d'impôt sur les sociétés en 2024 ?,"Le taux d'IS est de 25%, avec un taux réduit de 15% pour certaines PME."
Fiscalité,Impôt sur les sociétés ou impôt sur le revenu : quelle imposition selon votre statut ?,"Les bénéfices de votre entreprise sont imposables. Selon la forme juridique de votre entreprise, ses bénéfices peuvent être soumis soit à l'impôt sur le revenu (IR) soit à l'impôt sur les sociétés (IS). Comment déterminer votre type d'imposition ? Pouvez-vous en changer ? On vous répond.",Comment déterminer le type d'imposition pour une entreprise ?,"Le type d'imposition dépend de la forme juridique de l'entreprise. Certaines entreprises sont soumises par défaut à l'IR, mais peuvent opter pour l'IS sous certaines conditions."
Fiscalité,Entreprise soumise à l'impôt sur le revenu (IR) : comment déclarer vos bénéfices ?,"Si votre entreprise relève de l'impôt sur le revenu, vous devez renseigner ses bénéfices dans votre déclaration de revenus (déclarations n° 2042 et n° 2042-C-PRO), en fonction de la nature de l'activité (BIC, BNC ou BA).",Comment déclarer les bénéfices d'une entreprise soumise à l'IR ?,"Les bénéfices doivent être déclarés dans les formulaires n° 2042 et 2042-C-PRO, selon la nature de l'activité."
Fiscalité,Entreprise soumise à l'impôt sur les sociétés (IS) : comment déclarer vos bénéfices ?,"Si votre entreprise est soumise à l'impôt sur les sociétés, vous devez déclarer son bénéfice net, après déduction des rémunérations versées aux dirigeants, dans le formulaire 2065-SD accompagné de la liasse fiscale appropriée.",Comment déclarer les bénéfices d'une entreprise soumise à l'IS ?,Le bénéfice net doit être déclaré dans le formulaire 2065-SD avec la liasse fiscale correspondant au régime réel simplifié ou normal.
Fiscalité,Option pour l'impôt sur les sociétés,Certaines entreprises soumises par défaut à l'impôt sur le revenu peuvent choisir de passer à l'impôt sur les sociétés si cela leur est plus avantageux.,Une entreprise peut-elle choisir de passer à l'IS ?,"Oui, certaines entreprises soumises par défaut à l'IR peuvent opter pour l'IS si les conditions sont remplies."
Micro-entreprise,Micro-entrepreneurs : comment déclarer vos revenus ?,Le régime de la micro-entreprise est un régime unique et simplifié de l'entreprise individuelle. Il permet de bénéficier de formalités allégées et d'un mode de calcul et de paiement simplifié des cotisations sociales et de l'impôt sur le revenu. Comment déclarer les revenus d'une micro-entreprise ? On fait le point.,Comment déclarer les revenus d'une micro-entreprise ?,Les micro-entrepreneurs doivent déclarer leur chiffre d'affaires dans la déclaration complémentaire de revenus (n°2042-C Pro).
Micro-entreprise,Régime fiscal de droit commun : en quoi cela consiste ?,Le régime fiscal de droit commun s'applique de plein droit. Le micro-entrepreneur est soumis à l'impôt sur le revenu dans la catégorie des BIC ou BNC selon la nature de l'activité.,Qu'est-ce que le régime fiscal de droit commun pour un micro-entrepreneur ?,C'est le régime par défaut où les revenus sont imposés dans la catégorie des BIC ou BNC selon l'activité.
Micro-entreprise,Quelles conditions pour bénéficier du régime fiscal de la micro-entreprise ?,"Pour être soumis au régime fiscal de la micro-entreprise, le chiffre d'affaires annuel ne doit pas dépasser 188 700 € pour la vente de marchandises ou 77 700 € pour les prestations de services.",Quelles sont les conditions pour bénéficier du régime fiscal de la micro-entreprise ?,Le chiffre d'affaires annuel doit être inférieur à 188 700 € pour la vente de marchandises ou 77 700 € pour les services.
Micro-entreprise,Comment déclarer vos revenus avec le prélèvement libératoire ?,"En optant pour le prélèvement libératoire, le micro-entrepreneur paie un pourcentage fixe de son chiffre d'affaires et doit le déclarer à l'Urssaf. Ce prélèvement est ensuite reversé à l'administration fiscale.",Comment fonctionne le prélèvement libératoire pour un micro-entrepreneur ?,Le prélèvement libératoire permet de payer un pourcentage fixe du chiffre d'affaires en impôt et charges sociales.
Micro-entreprise,Travailleurs de plateformes : réforme de la collecte des cotisations,La collecte des cotisations sociales des micro-entrepreneurs des plateformes sera directement prélevée par les plateformes d'ici 2027 pour lutter contre la sous-déclaration des revenus générés par ces activités.,Quelles réformes s'appliquent aux micro-entrepreneurs des plateformes ?,"D'ici 2027, les cotisations sociales seront directement prélevées par les plateformes pour lutter contre la sous-déclaration."
Impôt sur le revenu,Formulaire n°2042 : Déclaration des revenus,La déclaration de revenus (n° 2042) permet de déclarer les revenus perçus par les membres du foyer fiscal. Elle est destinée à l'établissement de l'impôt sur les revenus. La déclaration annexe n°2042 RICI permet de déclarer les réductions d'impôt et crédits d'impôt les plus fréquents. La déclaration via le service en ligne accessible via impots.gouv.fr est en principe obligatoire.,À quoi sert le formulaire n°2042 ?,Le formulaire n°2042 sert à déclarer les revenus perçus par les membres du foyer fiscal pour l'établissement de l'impôt sur le revenu.
Impôt sur le revenu,Comment déclarer les réductions et crédits d'impôt ?,La déclaration annexe n°2042 RICI permet de déclarer les réductions d'impôt et crédits d'impôt les plus fréquents. Il est important de remplir cette annexe correctement pour bénéficier des avantages fiscaux.,Comment déclarer les réductions et crédits d'impôt ?,Les réductions et crédits d'impôt doivent être déclarés dans la déclaration annexe n°2042 RICI.
Impôt sur le revenu,Déclaration en ligne obligatoire,"La déclaration des revenus doit être faite en ligne via le service accessible sur impots.gouv.fr. Cette méthode est obligatoire, sauf en cas d'impossibilité d'utiliser les services numériques.",La déclaration de revenus est-elle obligatoire en ligne ?,"Oui, la déclaration de revenus est obligatoire en ligne, sauf en cas de contraintes particulières."
Impôt sur le revenu,Utilisation du formulaire papier,"Si vous êtes contraint d'utiliser un formulaire papier, il est recommandé de télécharger le fichier avant son impression et de l'envoyer par voie postale à votre service des impôts des particuliers. N'utilisez pas la messagerie sécurisée pour cela.",Que faire si je dois utiliser un formulaire papier pour déclarer mes revenus ?,"Téléchargez le formulaire, imprimez-le, et envoyez-le par voie postale à votre service des impôts des particuliers."
Impôt sur le revenu,Calcul de l'impôt sur le revenu,"L'impôt est calculé en appliquant à la fraction de chaque part de revenu qui excède 10 064 € des taux progressifs : 14 % jusqu'à 27 794 €, 30 % jusqu'à 74 517 €, 41 % jusqu'à 157 806 €, et 45 % au-delà.",Quels sont les taux d'imposition applicables pour le revenu ?,"Les taux d'imposition sont de 14 %, 30 %, 41 %, et 45 % selon les tranches de revenu."
Impôt sur le revenu,Quotient familial et réduction d'impôt,"La réduction d'impôt liée au quotient familial est plafonnée à 1 567 € par demi-part. Pour les contribuables célibataires ayant un enfant à charge, la réduction peut atteindre 3 697 €. Des dérogations s'appliquent pour certains contribuables.",Quel est le plafond de la réduction d'impôt liée au quotient familial ?,"Le plafond est de 1 567 € par demi-part, avec des exceptions pour certains contribuables."
Impôt sur le revenu,Réduction d'impôt pour les départements d'outre-mer,"Les contribuables domiciliés en Guadeloupe, Martinique, et Réunion bénéficient d'une réduction de 30 % (limite de 2 450 €), et ceux de Guyane et Mayotte bénéficient de 40 % (limite de 4 050 €).",Quelle est la réduction d'impôt pour les résidents des départements d'outre-mer ?,"La réduction est de 30 % pour la Guadeloupe, Martinique, et Réunion, et de 40 % pour la Guyane et Mayotte."
Impôt sur le revenu,Diminution de l'impôt pour revenus modestes,"L'impôt est diminué pour les contribuables aux revenus modestes, avec des seuils de 21 037 € pour les célibataires et 42 074 € pour les couples. Une réduction de 20 % s'applique selon des conditions précises.",Comment l'impôt est-il diminué pour les revenus modestes ?,Une réduction de 20 % s'applique pour les contribuables dont les revenus sont inférieurs à certains seuils.
Impôt sur le revenu,Imputation des réductions d'impôt,"Les réductions d'impôt, comme celles des articles 199 quater B à 200, sont imputées avant les crédits d'impôt et ne peuvent pas donner lieu à remboursement.",Comment sont imputées les réductions d'impôt ?,Elles sont imputées avant les crédits d'impôt et ne peuvent pas donner lieu à remboursement.
Micro-entreprise,Que se passe-t-il quand le seuil de chiffre d'affaires est dépassé ?,"Les micro-entrepreneurs doivent respecter des seuils de chiffre d'affaires pour rester éligibles au régime de la micro-entreprise. Ces seuils sont de 188 700 € pour les ventes de marchandises et de 77 700 € pour les prestations de services. En cas de dépassement, des conséquences fiscales et sociales s'appliquent.",Quels sont les seuils de chiffre d'affaires pour une micro-entreprise ?,188 700 € pour les ventes de marchandises et 77 700 € pour les prestations de services.
Micro-entreprise,Conséquences en cas de dépassement des seuils de chiffre d'affaires,"Si le seuil de chiffre d'affaires est dépassé une année, le régime de la micro-entreprise reste applicable l'année suivante. En revanche, si le dépassement a lieu pendant deux années consécutives, le régime change au 1er janvier de l'année suivante.",Que se passe-t-il si une micro-entreprise dépasse le seuil de chiffre d'affaires pendant deux années consécutives ?,La micro-entreprise perd son régime fiscal et passe sous le régime de l'entreprise individuelle.
Micro-entreprise,Calcul du chiffre d'affaires proratisé pour une création en cours d'année,"Pour une activité créée en cours d'année, le seuil de chiffre d'affaires est calculé au prorata temporis. Il faut diviser le chiffre d'affaires par le nombre de jours effectifs d'activité et le multiplier par 365.",Comment calculer le chiffre d'affaires proratisé pour une activité créée en cours d'année ?,Divisez le chiffre d'affaires par le nombre de jours d'activité et multipliez par 365.
Micro-entreprise,Conséquences fiscales et sociales de la sortie du régime de la micro-entreprise,"Après la sortie du régime de la micro-entreprise, l'entrepreneur passe sous le régime de l'entreprise individuelle. Les revenus sont imposés comme des BIC ou des BNC, et le régime social devient celui des travailleurs indépendants.",Quelles sont les conséquences fiscales et sociales de la sortie du régime de la micro-entreprise ?,L'entrepreneur est soumis au régime fiscal de l'entreprise individuelle et au régime social des travailleurs indépendants.
Micro-entreprise,Options possibles après la sortie du régime de la micro-entreprise,"En sortant du régime de la micro-entreprise, l'entrepreneur peut rester sous le statut d'entrepreneur individuel ou opter pour un autre statut juridique comme une société (SA, SARL, etc.).",Quelles options statutaires sont possibles après la sortie du régime de la micro-entreprise ?,L'entrepreneur peut rester en entreprise individuelle ou opter pour une structure comme une SA ou SARL.
